epoch,train_mse,val_mse,val_mae,lr,lr_used,lr_next,train_eval_mse,train_eval_mae,train_eval_mae_px,val_eval_mse,val_eval_mae,val_eval_mae_px
1,0.40487777098300465,0.05095475604872644,0.19120711338372878,0.001,0.001,0.001,0.05099201260341538,0.19125854939590264,42.650656515286286,0.05095475604872644,0.19120711338372878,42.639186284571515
2,0.00457450380594826,0.13342599316879555,0.3047835185204023,0.001,0.001,0.001,0.13329404713930906,0.30460918567798756,67.92784840619123,0.13342599316879555,0.3047835185204023,67.96672463004971
3,0.0038967389360438157,0.19666739602883657,0.3905439035392102,0.001,0.001,0.001,0.19649099350711446,0.3903100496456947,87.03914107098993,0.19666739602883657,0.3905439035392102,87.09129048924387
4,0.0014236721313662,0.20000942169148245,0.39771319966257357,0.001,0.001,0.001,0.1998338250466335,0.39749140091884283,88.64058240490195,0.20000942169148245,0.39771319966257357,88.6900435247539
5,0.005604443212764131,0.15782920512152307,0.36306813911155417,0.001,0.001,0.001,0.1576460736769217,0.36282644389588153,80.91029698878158,0.15782920512152307,0.36306813911155417,80.96419502187658
6,0.0017950131884850791,0.03128347781337338,0.1554889355176761,0.001,0.001,0.001,0.031222491490620154,0.15532108177373438,34.63660123554277,0.03128347781337338,0.1554889355176761,34.67403262044177
7,0.002701149132378675,0.0029515542337142024,0.045380689921202484,0.001,0.001,0.001,0.002936959953656719,0.04525940153333876,10.092846541934543,0.0029515542337142024,0.045380689921202484,10.119893852428154
8,0.0022348608936608575,0.00048495146322328553,0.021294196005220766,0.001,0.001,0.001,0.0004885416202689808,0.021381421295213112,4.768056948832524,0.00048495146322328553,0.021294196005220766,4.748605709164231
9,0.0020224190897733707,0.001061720861248488,0.03223787531440641,0.001,0.001,0.001,0.0010673267516755948,0.032314777227095616,7.206195321642323,0.001061720861248488,0.03223787531440641,7.189046195112629
10,0.003838906163798162,0.00017874908560231603,0.012370586763193577,0.001,0.001,0.001,0.0001778516610854386,0.01232725058072879,2.74897687950252,0.00017874908560231603,0.012370586763193577,2.758640848192168
11,0.003621528362571463,0.006035198665649434,0.07700369505234707,0.001,0.001,0.001,0.006046149282957668,0.07706827734723504,17.186225848433413,0.006035198665649434,0.07700369505234707,17.171823996673396
12,0.0026896448644958895,0.0011532608267310776,0.03286674405321663,0.001,0.001,0.001,0.0011516570987432828,0.03283045600961756,7.321191690144715,0.0011532608267310776,0.03286674405321663,7.329283923867308
13,0.006070799824931188,0.00045079493213927855,0.018555284944581397,0.001,0.001,0.001,0.000450336663727936,0.01854730130713663,4.136048191491469,0.00045079493213927855,0.018555284944581397,4.1378285426416515
14,0.008936984717010888,0.008452285039756034,0.09073298831044892,0.001,0.001,0.001,0.008458777813723794,0.09076066664707513,20.239628662297754,0.008452285039756034,0.09073298831044892,20.23345639323011
15,0.006846257164660427,0.000760908706119445,0.024451024738358862,0.0005,0.001,0.0005,0.0007637451050722581,0.02448677560429514,5.460550959757816,0.000760908706119445,0.024451024738358862,5.452578516654026
16,0.0008279868341223509,0.0011259590614771033,0.03256111557101026,0.0005,0.0005,0.0005,0.0011251596604577368,0.03253613121715593,7.255557261425772,0.0011259590614771033,0.03256111557101026,7.261128772335288
17,0.0012686147756966544,0.0017431591349987335,0.04111600393130455,0.0005,0.0005,0.0005,0.0017470158849279454,0.04115327096279756,9.177179424703857,0.0017431591349987335,0.04111600393130455,9.168868876680914
18,0.001660573094462355,0.004650784048171323,0.06807875515502176,0.0005,0.0005,0.0005,0.00465094932458467,0.06807833512624105,15.181468733151753,0.004650784048171323,0.06807875515502176,15.181562399569854
19,0.003017698489072054,0.0011512120524536313,0.03322197301888172,0.0005,0.0005,0.0005,0.001153883884695393,0.03325215666382401,7.415230936032754,0.0011512120524536313,0.03322197301888172,7.408499983210623
20,0.0020872589959590525,0.00022479920104766886,0.014035609033372667,0.00025,0.0005,0.00025,0.0002265614701397602,0.014077321541162185,3.1392427036791672,0.00022479920104766886,0.014035609033372667,3.129940814442105
21,0.00034594685584809744,6.9092056839037e-05,0.007957443263795641,0.00025,0.00025,0.00025,6.878415410432758e-05,0.007922915433659966,1.7668101417061726,6.9092056839037e-05,0.007957443263795641,1.774509847826428
22,0.0007409172782237516,0.00012542206979425694,0.010726976063516405,0.00025,0.00025,0.00025,0.00012656439869681855,0.010761002625948117,2.39970358558643,0.00012542206979425694,0.010726976063516405,2.392115662164158
23,0.000350276713207778,0.0007780500900368264,0.027761793578112568,0.00025,0.00025,0.00025,0.0007766381801496961,0.027731685138043062,6.184165785783603,0.0007780500900368264,0.027761793578112568,6.190879967919103
24,0.0013873681563303381,0.0005780235687443228,0.023713881733976764,0.00025,0.00025,0.00025,0.0005763997961939485,0.023681663436654173,5.281010946373881,0.0005780235687443228,0.023713881733976764,5.288195626676818
25,0.0011345164548536694,0.0008375357704260099,0.028831792613606393,0.00025,0.00025,0.00025,0.0008359479499451908,0.028802136285805406,6.422876391734605,0.0008375357704260099,0.028831792613606393,6.429489752834225
26,0.000615456041213079,5.823415870475367e-06,0.0019952802562419277,0.00025,0.00025,0.00025,6.055351675766158e-06,0.002030350175904639,0.4527680892267345,5.823415870475367e-06,0.0019952802562419277,0.44494749714194987
27,0.0004559243000169963,0.00015593530771173077,0.0122549647902265,0.00025,0.00025,0.00025,0.00015655672975332924,0.012274297740724352,2.7371683961815303,0.00015593530771173077,0.0122549647902265,2.7328571482205097
28,0.00041278925002840016,4.764506085826096e-06,0.0017407782467795006,0.00025,0.00025,0.00025,4.990774696013017e-06,0.0017789009544584486,0.396694912844234,4.764506085826096e-06,0.0017407782467795006,0.3881935490318286
29,0.00030645767419403534,1.996933958848168e-05,0.003964411145375098,0.00025,0.00025,0.00025,2.0273647492609192e-05,0.003996002839671241,0.8911086332466867,1.996933958848168e-05,0.003964411145375098,0.884063685418647
30,0.00012667495933401594,5.27588076861489e-06,0.0019089006531385728,0.00025,0.00025,0.00025,5.499342348600665e-06,0.0019425661107640207,0.43319224270037665,5.27588076861489e-06,0.0019089006531385728,0.4256848456499017
31,0.0005473969103610373,0.000524611601082861,0.022806812951594223,0.00025,0.00025,0.00025,0.0005263952581487872,0.022841291810259408,5.0936080736878475,0.000524611601082861,0.022806812951594223,5.0859192882055115
32,0.0003748960992433476,7.137141075850476e-05,0.008210669881031836,0.00025,0.00025,0.00025,7.181010793975013e-05,0.008227968289528364,1.8348369285648252,7.137141075850476e-05,0.008210669881031836,1.8309793834700996
33,0.00040517706944273764,0.00033820377789253806,0.018150640269856393,0.000125,0.00025,0.000125,0.0003373218201572236,0.018127464217904173,4.042424520592631,0.00033820377789253806,0.018150640269856393,4.047592780177975
34,0.0004217327760659513,6.914973355266323e-05,0.008160315362023718,0.000125,0.000125,0.000125,6.893645051470095e-05,0.008141359208542623,1.815523103505005,6.914973355266323e-05,0.008160315362023718,1.819750325731289
35,0.00046469263968138415,0.00012644788569750632,0.011066945136329274,0.000125,0.000125,0.000125,0.00012604403374199237,0.011044974901058055,2.4630294029359465,0.00012644788569750632,0.011066945136329274,2.467928765401428
36,0.00032618305678939287,4.966789764480774e-06,0.001809166114271423,0.000125,0.000125,0.000125,5.123655192159119e-06,0.0018323730907322448,0.4086191992332906,4.966789764480774e-06,0.001809166114271423,0.4034440434825273
37,0.0003015135792888885,2.021740072922074e-05,0.004225300105265629,0.000125,0.000125,0.000125,2.0449218240690155e-05,0.00424139310180405,0.9458306617023031,2.021740072922074e-05,0.004225300105265629,0.9422419234742353
38,0.00020526933484138737,1.3284493063649819e-05,0.0033058165584081483,6.25e-05,0.000125,6.25e-05,1.3446738081750672e-05,0.003318090056195671,0.7399340825316346,1.3284493063649819e-05,0.0033058165584081483,0.7371970925250171
39,0.00029854751105350586,2.7070915682908194e-05,0.005006834459893497,6.25e-05,6.25e-05,6.25e-05,2.7032849606324883e-05,0.0049906430421052155,1.112913398389463,2.7070915682908194e-05,0.005006834459893497,1.1165240845562499
40,0.0004993883588201838,0.00024848458663284504,0.015678886351761994,6.25e-05,6.25e-05,6.25e-05,0.0002491039754305449,0.015693999661339653,3.499761924478743,0.00024848458663284504,0.015678886351761994,3.4963916564429245
41,0.0004827648790030062,0.0001420795168356832,0.011812026154847792,6.25e-05,6.25e-05,6.25e-05,0.00014170236823746912,0.011792768593187685,2.629787396280854,0.0001420795168356832,0.011812026154847792,2.6340818325310575
42,0.00019319290650956746,2.2251976581712908e-05,0.004522940700436816,6.25e-05,6.25e-05,6.25e-05,2.2638514628066154e-05,0.004551602292943884,1.0150073113264861,2.2251976581712908e-05,0.004522940700436816,1.00861577619741
43,0.00013162913670429938,1.986598752769225e-06,0.0010839674023934353,6.25e-05,6.25e-05,6.25e-05,2.0702510157184688e-06,0.0011084719572538211,0.2471892464676021,1.986598752769225e-06,0.0010839674023934353,0.24172473073373607
44,0.0001954046730886294,2.6547063245945738e-06,0.0012895977239549897,6.25e-05,6.25e-05,6.25e-05,2.7985219787049934e-06,0.001320076283113456,0.2943770111343007,2.6547063245945738e-06,0.0012895977239549897,0.2875802924419627
45,9.632005850658005e-05,3.3440892815476363e-06,0.0014957192687340725,6.25e-05,6.25e-05,6.25e-05,3.450635114387734e-06,0.0015205075711379817,0.33907318836376993,3.3440892815476363e-06,0.0014957192687340725,0.3335453969276982
46,0.00012381644950055712,3.8859934715286795e-05,0.006117198202345107,6.25e-05,6.25e-05,6.25e-05,3.861462618159648e-05,0.006089753133279306,1.3580149487212851,3.8859934715286795e-05,0.006117198202345107,1.3641351991229589
47,0.0001388800710965707,3.021594196149108e-06,0.0014615499862918146,6.25e-05,6.25e-05,6.25e-05,3.056117051483504e-06,0.0014576152518943504,0.32504820117244015,3.021594196149108e-06,0.0014615499862918146,0.3259256469430747
48,0.00026033858898082135,4.3283238626849826e-05,0.006463557261007803,3.125e-05,6.25e-05,3.125e-05,4.344463666734274e-05,0.0064710600876513825,1.4430463995462584,4.3283238626849826e-05,0.006463557261007803,1.44137326920474
49,0.00032436663263698715,4.547785101188052e-06,0.0018428780598404968,3.125e-05,3.125e-05,3.125e-05,4.632099126517718e-06,0.0018538607859317168,0.41341095526277283,4.547785101188052e-06,0.0018428780598404968,0.4109618073444308
50,0.00030783770957334777,1.4762679282082698e-06,0.0009375294233545845,3.125e-05,3.125e-05,3.125e-05,1.595170349755341e-06,0.0009686866660176972,0.2160171265219465,1.4762679282082698e-06,0.0009375294233545845,0.20906906140807233
51,0.0002534772861564969,1.4365733028328431e-05,0.003601083803324052,3.125e-05,3.125e-05,3.125e-05,1.4608794333104958e-05,0.0036211552075397823,0.8075176112813715,1.4365733028328431e-05,0.003601083803324052,0.8030416881412635
52,0.00017833357140059687,1.9883178597242307e-06,0.0010707194606463114,3.125e-05,3.125e-05,3.125e-05,2.121862771224344e-06,0.0010920518342359567,0.24352755903461834,1.9883178597242307e-06,0.0010707194606463114,0.23877043972412743
53,0.00010794915171325915,2.1498825990869433e-06,0.0011991498095017892,3.125e-05,3.125e-05,3.125e-05,2.1987479017915585e-06,0.0012111742555359264,0.2700918589845116,2.1498825990869433e-06,0.0011991498095017892,0.267410407518899
54,0.00048229727280731485,1.921703937743003e-06,0.0011134607372460543,3.125e-05,3.125e-05,3.125e-05,1.9757860835302437e-06,0.001123523086677363,0.25054564832905196,1.921703937743003e-06,0.0011134607372460543,0.2483017444058701
55,0.000182467943463569,2.6989996619962724e-06,0.0013963134016519712,1.5625e-05,3.125e-05,1.5625e-05,2.7145949237213546e-06,0.0013938682682720232,0.3108326238246612,2.6989996619962724e-06,0.0013963134016519712,0.31137788856838955
