split,index,singular_value,samples,epsilon
test_id,1,8.61041218739664,200,0.0033632286995515697
test_id,2,6.516731834354175,200,0.0033632286995515697
test_id,3,4.139643030554495,200,0.0033632286995515697
test_id,4,2.714873078435096,200,0.0033632286995515697
test_id,5,1.8946614771977506,200,0.0033632286995515697
test_id,6,1.4235917034443581,200,0.0033632286995515697
test_id,7,1.1858610419753612,200,0.0033632286995515697
test_id,8,0.9289008834272316,200,0.0033632286995515697
test_hole,1,7.664458971342007,200,0.0033632286995515697
test_hole,2,5.65654368037772,200,0.0033632286995515697
test_hole,3,3.78112026779054,200,0.0033632286995515697
test_hole,4,2.4564452191923136,200,0.0033632286995515697
test_hole,5,1.6877706798805383,200,0.0033632286995515697
test_hole,6,1.3025104440134099,200,0.0033632286995515697
test_hole,7,1.0632113179613665,200,0.0033632286995515697
test_hole,8,0.8360201099356699,200,0.0033632286995515697
test_extra,1,9.544203418199173,200,0.0033632286995515697
test_extra,2,7.391984733727527,200,0.0033632286995515697
test_extra,3,4.503710464050244,200,0.0033632286995515697
test_extra,4,2.9887706199117714,200,0.0033632286995515697
test_extra,5,2.0567660709685556,200,0.0033632286995515697
test_extra,6,1.511683886343094,200,0.0033632286995515697
test_extra,7,1.233566705482862,200,0.0033632286995515697
test_extra,8,0.9859823277183094,200,0.0033632286995515697
