variant,source,stage,cumulative_stride,shift_px,comparison,alignment,feature_height,feature_width,overlap_height,overlap_feature_columns,normalized_l1,normalized_l2
baseline,trained_checkpoint,stem_conv,2,1,raw_unaligned,none,112,112,112,112,0.09451252222061157,0.20205117762088776
baseline,trained_checkpoint,stem_conv,2,1,fractional_aligned,bilinear_fractional,112,112,112,111,0.056067679077386856,0.11299439519643784
baseline,trained_checkpoint,stem_pool,4,1,raw_unaligned,none,56,56,56,56,0.08621113747358322,0.1450880467891693
baseline,trained_checkpoint,stem_pool,4,1,fractional_aligned,bilinear_fractional,56,56,56,55,0.07764364033937454,0.11783205717802048
baseline,trained_checkpoint,layer1,4,1,raw_unaligned,none,56,56,56,56,0.06763901561498642,0.11145096272230148
baseline,trained_checkpoint,layer1,4,1,fractional_aligned,bilinear_fractional,56,56,56,55,0.05841844901442528,0.0879843458533287
baseline,trained_checkpoint,layer2,8,1,raw_unaligned,none,28,28,28,28,0.04692947864532471,0.07949160039424896
baseline,trained_checkpoint,layer2,8,1,fractional_aligned,bilinear_fractional,28,28,28,27,0.043719444423913956,0.07151298224925995
baseline,trained_checkpoint,layer3,16,1,raw_unaligned,none,14,14,14,14,0.03370846435427666,0.05591972917318344
baseline,trained_checkpoint,layer3,16,1,fractional_aligned,bilinear_fractional,14,14,14,13,0.03143036738038063,0.04845507815480232
baseline,trained_checkpoint,layer4,32,1,raw_unaligned,none,7,7,7,7,0.021670199930667877,0.030500352382659912
baseline,trained_checkpoint,layer4,32,1,fractional_aligned,bilinear_fractional,7,7,7,6,0.023756118491292,0.0320427343249321
baseline,trained_checkpoint,stem_conv,2,2,raw_unaligned,none,112,112,112,112,0.16592948138713837,0.33660608530044556
baseline,trained_checkpoint,stem_conv,2,2,fractional_aligned,bilinear_fractional,112,112,112,111,4.4134969812148483e-07,1.0614978691592114e-06
baseline,trained_checkpoint,stem_conv,2,2,exact_integer,exact_integer,112,112,112,111,0.0,0.0
baseline,trained_checkpoint,stem_pool,4,2,raw_unaligned,none,56,56,56,56,0.14852163195610046,0.2698635756969452
baseline,trained_checkpoint,stem_pool,4,2,fractional_aligned,bilinear_fractional,56,56,56,55,0.07565556466579437,0.1290789395570755
baseline,trained_checkpoint,layer1,4,2,raw_unaligned,none,56,56,56,56,0.13971345126628876,0.22829854488372803
baseline,trained_checkpoint,layer1,4,2,fractional_aligned,bilinear_fractional,56,56,56,55,0.06560613960027695,0.09691188484430313
baseline,trained_checkpoint,layer2,8,2,raw_unaligned,none,28,28,28,28,0.10404901206493378,0.17198622226715088
baseline,trained_checkpoint,layer2,8,2,fractional_aligned,bilinear_fractional,28,28,28,27,0.07170512527227402,0.11521730571985245
baseline,trained_checkpoint,layer3,16,2,raw_unaligned,none,14,14,14,14,0.07855113595724106,0.12623776495456696
baseline,trained_checkpoint,layer3,16,2,fractional_aligned,bilinear_fractional,14,14,14,13,0.06175534427165985,0.09693513810634613
baseline,trained_checkpoint,layer4,32,2,raw_unaligned,none,7,7,7,7,0.05153563246130943,0.07086054980754852
baseline,trained_checkpoint,layer4,32,2,fractional_aligned,bilinear_fractional,7,7,7,6,0.0497555248439312,0.06698816269636154
baseline,trained_checkpoint,stem_conv,2,4,raw_unaligned,none,112,112,112,112,0.28933849930763245,0.5350084900856018
baseline,trained_checkpoint,stem_conv,2,4,fractional_aligned,bilinear_fractional,112,112,112,110,4.428682700563513e-07,1.0615046903694747e-06
baseline,trained_checkpoint,stem_conv,2,4,exact_integer,exact_integer,112,112,112,110,0.0,0.0
baseline,trained_checkpoint,stem_pool,4,4,raw_unaligned,none,56,56,56,56,0.3146113157272339,0.4974691569805145
baseline,trained_checkpoint,stem_pool,4,4,fractional_aligned,bilinear_fractional,56,56,56,55,1.3702990599995246e-06,1.690527483333426e-06
baseline,trained_checkpoint,stem_pool,4,4,exact_integer,exact_integer,56,56,56,55,0.0,0.0
