variant,source,stage,cumulative_stride,shift_px,comparison,alignment,feature_height,feature_width,overlap_height,overlap_feature_columns,normalized_l1,normalized_l2
no_gap,trained_checkpoint,stem_conv,2,1,raw_unaligned,none,112,112,112,112,0.10488925874233246,0.20756526291370392
no_gap,trained_checkpoint,stem_conv,2,1,fractional_aligned,bilinear_fractional,112,112,112,111,0.06322682648897171,0.11575614660978317
no_gap,trained_checkpoint,stem_pool,4,1,raw_unaligned,none,56,56,56,56,0.09497618675231934,0.15924978256225586
no_gap,trained_checkpoint,stem_pool,4,1,fractional_aligned,bilinear_fractional,56,56,56,55,0.08020675182342529,0.12074250727891922
no_gap,trained_checkpoint,layer1,4,1,raw_unaligned,none,56,56,56,56,0.07548660039901733,0.11715975403785706
no_gap,trained_checkpoint,layer1,4,1,fractional_aligned,bilinear_fractional,56,56,56,55,0.05638252943754196,0.08178329467773438
no_gap,trained_checkpoint,layer2,8,1,raw_unaligned,none,28,28,28,28,0.04472848027944565,0.08448658138513565
no_gap,trained_checkpoint,layer2,8,1,fractional_aligned,bilinear_fractional,28,28,28,27,0.035514168441295624,0.06792128831148148
no_gap,trained_checkpoint,layer3,16,1,raw_unaligned,none,14,14,14,14,0.033302679657936096,0.05331090837717056
no_gap,trained_checkpoint,layer3,16,1,fractional_aligned,bilinear_fractional,14,14,14,13,0.029828520491719246,0.04847178980708122
no_gap,trained_checkpoint,layer4,32,1,raw_unaligned,none,7,7,7,7,0.016698183491826057,0.024103941395878792
no_gap,trained_checkpoint,layer4,32,1,fractional_aligned,bilinear_fractional,7,7,7,6,0.01930788718163967,0.02382502146065235
no_gap,trained_checkpoint,stem_conv,2,2,raw_unaligned,none,112,112,112,112,0.1869337558746338,0.3524366021156311
no_gap,trained_checkpoint,stem_conv,2,2,fractional_aligned,bilinear_fractional,112,112,112,111,5.103381681692554e-07,1.1295846888970118e-06
no_gap,trained_checkpoint,stem_conv,2,2,exact_integer,exact_integer,112,112,112,111,0.0,0.0
no_gap,trained_checkpoint,stem_pool,4,2,raw_unaligned,none,56,56,56,56,0.16265571117401123,0.28784433007240295
no_gap,trained_checkpoint,stem_pool,4,2,fractional_aligned,bilinear_fractional,56,56,56,55,0.08255872130393982,0.1376485377550125
no_gap,trained_checkpoint,layer1,4,2,raw_unaligned,none,56,56,56,56,0.14602456986904144,0.22497378289699554
no_gap,trained_checkpoint,layer1,4,2,fractional_aligned,bilinear_fractional,56,56,56,55,0.06693550199270248,0.09694624692201614
no_gap,trained_checkpoint,layer2,8,2,raw_unaligned,none,28,28,28,28,0.09203121811151505,0.1764247566461563
no_gap,trained_checkpoint,layer2,8,2,fractional_aligned,bilinear_fractional,28,28,28,27,0.06124572455883026,0.12366517633199692
no_gap,trained_checkpoint,layer3,16,2,raw_unaligned,none,14,14,14,14,0.07398711889982224,0.11599051207304001
no_gap,trained_checkpoint,layer3,16,2,fractional_aligned,bilinear_fractional,14,14,14,13,0.058498315513134,0.09743466973304749
no_gap,trained_checkpoint,layer4,32,2,raw_unaligned,none,7,7,7,7,0.037143126130104065,0.05324333906173706
no_gap,trained_checkpoint,layer4,32,2,fractional_aligned,bilinear_fractional,7,7,7,6,0.040301915258169174,0.050296343863010406
no_gap,trained_checkpoint,stem_conv,2,4,raw_unaligned,none,112,112,112,112,0.32545533776283264,0.5546716451644897
no_gap,trained_checkpoint,stem_conv,2,4,fractional_aligned,bilinear_fractional,112,112,112,110,5.117436217005888e-07,1.1295903732388979e-06
no_gap,trained_checkpoint,stem_conv,2,4,exact_integer,exact_integer,112,112,112,110,0.0,0.0
no_gap,trained_checkpoint,stem_pool,4,4,raw_unaligned,none,56,56,56,56,0.32650917768478394,0.5002189874649048
no_gap,trained_checkpoint,stem_pool,4,4,fractional_aligned,bilinear_fractional,56,56,56,55,1.4257396969696856e-06,1.6725904288250604e-06
no_gap,trained_checkpoint,stem_pool,4,4,exact_integer,exact_integer,56,56,56,55,0.0,0.0
no_gap,trained_checkpoint,layer1,4,4,raw_unaligned,none,56,56,56,56,0.285005122423172,0.40959709882736206
no_gap,trained_checkpoint,layer1,4,4,fractional_aligned,bilinear_fractional,56,56,56,55,0.00632495665922761,0.004959558602422476
no_gap,trained_checkpoint,layer1,4,4,exact_integer,exact_integer,56,56,56,55,0.006324138026684523,0.004959560465067625
no_gap,trained_checkpoint,layer2,8,4,raw_unaligned,none,28,28,28,28,0.18108975887298584,0.32185083627700806
no_gap,trained_checkpoint,layer2,8,4,fractional_aligned,bilinear_fractional,28,28,28,27,0.0849846750497818,0.15670420229434967
no_gap,trained_checkpoint,layer3,16,4,raw_unaligned,none,14,14,14,14,0.14886803925037384,0.2143484205007553
no_gap,trained_checkpoint,layer3,16,4,fractional_aligned,bilinear_fractional,14,14,14,13,0.09785620868206024,0.1520799994468689
no_gap,trained_checkpoint,layer4,32,4,raw_unaligned,none,7,7,7,7,0.07041732966899872,0.09666474163532257
no_gap,trained_checkpoint,layer4,32,4,fractional_aligned,bilinear_fractional,7,7,7,6,0.06407379359006882,0.07487890124320984
no_gap,trained_checkpoint,stem_conv,2,8,raw_unaligned,none,112,112,112,112,0.5795198082923889,0.8353515863418579
no_gap,trained_checkpoint,stem_conv,2,8,fractional_aligned,bilinear_fractional,112,112,112,108,5.145776640347322e-07,1.1296019692963455e-06
no_gap,trained_checkpoint,stem_conv,2,8,exact_integer,exact_integer,112,112,112,108,0.0,0.0
no_gap,trained_checkpoint,stem_pool,4,8,raw_unaligned,none,56,56,56,56,0.62615567445755,0.7841326594352722
no_gap,trained_checkpoint,stem_pool,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,1.4294531638370245e-06,1.6725956584195956e-06
no_gap,trained_checkpoint,stem_pool,4,8,exact_integer,exact_integer,56,56,56,54,0.0,0.0
no_gap,trained_checkpoint,layer1,4,8,raw_unaligned,none,56,56,56,56,0.5129079222679138,0.6856403350830078
no_gap,trained_checkpoint,layer1,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,0.005626687314361334,0.004385971464216709
no_gap,trained_checkpoint,layer1,4,8,exact_integer,exact_integer,56,56,56,54,0.005625769961625338,0.004385971464216709
no_gap,trained_checkpoint,layer2,8,8,raw_unaligned,none,28,28,28,28,0.3388768434524536,0.564306914806366
no_gap,trained_checkpoint,layer2,8,8,fractional_aligned,bilinear_fractional,28,28,28,27,0.01017653290182352,0.00956684909760952
no_gap,trained_checkpoint,layer2,8,8,exact_integer,exact_integer,28,28,28,27,0.010176443494856358,0.00956684909760952
no_gap,trained_checkpoint,layer3,16,8,raw_unaligned,none,14,14,14,14,0.291873037815094,0.39554378390312195
no_gap,trained_checkpoint,layer3,16,8,fractional_aligned,bilinear_fractional,14,14,14,13,0.12997828423976898,0.19012919068336487
no_gap,trained_checkpoint,layer4,32,8,raw_unaligned,none,7,7,7,7,0.13823461532592773,0.18918833136558533
no_gap,trained_checkpoint,layer4,32,8,fractional_aligned,bilinear_fractional,7,7,7,6,0.1120133101940155,0.12888535857200623
no_gap,trained_checkpoint,stem_conv,2,16,raw_unaligned,none,112,112,112,112,1.0756683349609375,1.218085527420044
no_gap,trained_checkpoint,stem_conv,2,16,fractional_aligned,bilinear_fractional,112,112,112,104,5.203410751164483e-07,1.1296251614112407e-06
no_gap,trained_checkpoint,stem_conv,2,16,exact_integer,exact_integer,112,112,112,104,0.0,0.0
no_gap,trained_checkpoint,stem_pool,4,16,raw_unaligned,none,56,56,56,56,1.1369049549102783,1.1162217855453491
no_gap,trained_checkpoint,stem_pool,4,16,fractional_aligned,bilinear_fractional,56,56,56,52,1.436945922250743e-06,1.6726064586691791e-06
no_gap,trained_checkpoint,stem_pool,4,16,exact_integer,exact_integer,56,56,56,52,0.0,0.0
no_gap,trained_checkpoint,layer1,4,16,raw_unaligned,none,56,56,56,56,0.9056499004364014,1.060920000076294
no_gap,trained_checkpoint,layer1,4,16,fractional_aligned,bilinear_fractional,56,56,56,52,0.005652932450175285,0.004369192756712437
no_gap,trained_checkpoint,layer1,4,16,exact_integer,exact_integer,56,56,56,52,0.005652005318552256,0.004369192756712437
no_gap,trained_checkpoint,layer2,8,16,raw_unaligned,none,28,28,28,28,0.6091373562812805,0.9403221011161804
no_gap,trained_checkpoint,layer2,8,16,fractional_aligned,bilinear_fractional,28,28,28,26,0.00955970399081707,0.009042867459356785
no_gap,trained_checkpoint,layer2,8,16,exact_integer,exact_integer,28,28,28,26,0.009559575468301773,0.009042867459356785
no_gap,trained_checkpoint,layer3,16,16,raw_unaligned,none,14,14,14,14,0.5650428533554077,0.7228626012802124
no_gap,trained_checkpoint,layer3,16,16,fractional_aligned,bilinear_fractional,14,14,14,13,0.01075261551886797,0.01288785133510828
no_gap,trained_checkpoint,layer3,16,16,exact_integer,exact_integer,14,14,14,13,0.010752467438578606,0.012887856923043728
no_gap,trained_checkpoint,layer4,32,16,raw_unaligned,none,7,7,7,7,0.2655031979084015,0.3621975779533386
no_gap,trained_checkpoint,layer4,32,16,fractional_aligned,bilinear_fractional,7,7,7,6,0.16206131875514984,0.17750263214111328
no_gap,trained_checkpoint,stem_conv,2,32,raw_unaligned,none,112,112,112,112,1.3921587467193604,1.4132742881774902
no_gap,trained_checkpoint,stem_conv,2,32,fractional_aligned,bilinear_fractional,112,112,112,96,5.32263925379084e-07,1.1296714319541934e-06
no_gap,trained_checkpoint,stem_conv,2,32,exact_integer,exact_integer,112,112,112,96,0.0,0.0
no_gap,trained_checkpoint,stem_pool,4,32,raw_unaligned,none,56,56,56,56,1.7101895809173584,1.413802981376648
no_gap,trained_checkpoint,stem_pool,4,32,fractional_aligned,bilinear_fractional,56,56,56,48,1.4521664297717507e-06,1.672627718107833e-06
no_gap,trained_checkpoint,stem_pool,4,32,exact_integer,exact_integer,56,56,56,48,0.0,0.0
no_gap,trained_checkpoint,layer1,4,32,raw_unaligned,none,56,56,56,56,1.3845115900039673,1.3981537818908691
no_gap,trained_checkpoint,layer1,4,32,fractional_aligned,bilinear_fractional,56,56,56,48,0.005775653291493654,0.004369624890387058
no_gap,trained_checkpoint,layer1,4,32,exact_integer,exact_integer,56,56,56,48,0.005774707533419132,0.004369624890387058
no_gap,trained_checkpoint,layer2,8,32,raw_unaligned,none,28,28,28,28,0.9626122117042542,1.3156821727752686
no_gap,trained_checkpoint,layer2,8,32,fractional_aligned,bilinear_fractional,28,28,28,24,0.009945976547896862,0.009034710936248302
no_gap,trained_checkpoint,layer2,8,32,exact_integer,exact_integer,28,28,28,24,0.009945843368768692,0.009034710936248302
no_gap,trained_checkpoint,layer3,16,32,raw_unaligned,none,14,14,14,14,0.9649591445922852,1.126690149307251
no_gap,trained_checkpoint,layer3,16,32,fractional_aligned,bilinear_fractional,14,14,14,12,0.01070092897862196,0.01234221551567316
