period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
2,0,raw,-0.0004235450178384781,0.0016482271254062652,0.0019439718626878871,-0.09445053897798061,0.36755464896559714,0.43350572537939885,80,sample_ddof1; count=1 written as 0; empty=nan
2,1,raw,-0.00046995095908641815,0.0015691854059696198,0.0018706374389724752,-0.10479906387627125,0.3499283455312252,0.41715214889086194,80,sample_ddof1; count=1 written as 0; empty=nan
2,0,detrended,2.2050960943998267e-05,0.0015933533610275534,0.0019412223099860718,0.004917364290511639,0.3553177995091444,0.432892575126894,80,sample_ddof1; count=1 written as 0; empty=nan
2,1,detrended,-2.2050960943999046e-05,0.001510955679183351,0.0018673877823350553,-0.004917364290511805,0.33694311645788727,0.41642747546071734,80,sample_ddof1; count=1 written as 0; empty=nan
4,0,raw,-0.00037017837166786194,0.0017172083258628844,0.0020984742905704205,-0.08254977688193321,0.38293745666742324,0.46795976679720375,40,sample_ddof1; count=1 written as 0; empty=nan
4,1,raw,-0.00043893642723560335,0.0015883397310972214,0.001903781814041805,-0.09788282327353955,0.35419976003468034,0.4245433445313225,40,sample_ddof1; count=1 written as 0; empty=nan
4,2,raw,-0.00047691166400909424,0.001579245924949646,0.0018015312727258435,-0.10635130107402802,0.35217184126377105,0.4017414738178631,40,sample_ddof1; count=1 written as 0; empty=nan
4,3,raw,-0.000500965490937233,0.001550031080842018,0.001860627789699671,-0.11171530447900295,0.34565693102777006,0.41491999710302657,40,sample_ddof1; count=1 written as 0; empty=nan
4,0,detrended,7.31135877546718e-05,0.0016779532683359477,0.0020931871855346855,0.016304330069291793,0.3741835788389163,0.4667807423742349,40,sample_ddof1; count=1 written as 0; empty=nan
4,1,detrended,6.659551546873066e-06,0.0015505111017634968,0.0018944896157789038,0.001485079994952676,0.3457639756932598,0.42247118431869557,40,sample_ddof1; count=1 written as 0; empty=nan
4,2,detrended,-2.901166586667522e-05,0.0015087534537191593,0.0018018133172880246,-0.006469601488268561,0.3364520201793725,0.4018043697552295,40,sample_ddof1; count=1 written as 0; empty=nan
4,3,detrended,-5.0761473434871246e-05,0.0014714002566032054,0.0018635735212141908,-0.011319808575976299,0.32812225722251476,0.4155768952307645,40,sample_ddof1; count=1 written as 0; empty=nan
8,0,raw,-0.00010680258274078369,0.001970246434211731,0.0024339024368917475,-0.023816975951194762,0.439364954829216,0.5427602434268597,20,sample_ddof1; count=1 written as 0; empty=nan
8,1,raw,-0.00015966296195983886,0.0017527058720588685,0.002117805102247336,-0.035604840517044066,0.39085340946912767,0.4722705378011559,20,sample_ddof1; count=1 written as 0; empty=nan
8,2,raw,-0.00035595446825027467,0.0016987457871437072,0.0018978412053746747,-0.07937784641981124,0.3788203105330467,0.42321858879855245,20,sample_ddof1; count=1 written as 0; empty=nan
8,3,raw,-0.0006407886743545532,0.001578211784362793,0.001744822567714324,-0.14289587438106538,0.35194122791290283,0.3890954326002942,20,sample_ddof1; count=1 written as 0; empty=nan
8,4,raw,-0.0006335541605949402,0.0014641702175140381,0.0017230903534615632,-0.14128257781267167,0.32650995850563047,0.38424914882192857,20,sample_ddof1; count=1 written as 0; empty=nan
8,5,raw,-0.0007182098925113678,0.0014239735901355743,0.0016703987125092465,-0.16016080603003502,0.3175461106002331,0.37249891288956205,20,sample_ddof1; count=1 written as 0; empty=nan
8,6,raw,-0.0005978688597679139,0.0014597460627555846,0.001740472301809925,-0.1333247557282448,0.3255233719944954,0.38812532330361327,20,sample_ddof1; count=1 written as 0; empty=nan
8,7,raw,-0.0003611423075199127,0.0015218503773212432,0.0020051219169150364,-0.08053473457694053,0.33937263414263724,0.44714218747205314,20,sample_ddof1; count=1 written as 0; empty=nan
8,0,detrended,0.00033188133796186456,0.0018760177688506145,0.002429922798602522,0.07400953836549581,0.41835196245368717,0.5418727840883624,20,sample_ddof1; count=1 written as 0; empty=nan
8,1,detrended,0.00028132497810275217,0.001737140235379225,0.002112254793416126,0.06273547011691372,0.38738227248956714,0.47103281893179605,20,sample_ddof1; count=1 written as 0; empty=nan
8,2,detrended,8.73374911722589e-05,0.0016682407073611099,0.0019006333983631828,0.01947626053141376,0.37201767774152755,0.4238412478349898,20,sample_ddof1; count=1 written as 0; empty=nan
8,3,detrended,-0.00019519269557207694,0.001537164699098059,0.0017437454824635126,-0.043527971112573144,0.3427877278988672,0.3888552425893633,20,sample_ddof1; count=1 written as 0; empty=nan
8,4,detrended,-0.00018565416245252113,0.0014798887678212805,0.0017169659573563034,-0.04140087822691221,0.3300151952241456,0.38288340849045566,20,sample_ddof1; count=1 written as 0; empty=nan
8,5,detrended,-0.00026800587500900593,0.001363881968147769,0.0016572983003701558,-0.05976531012700834,0.30414567889695243,0.3695775209825447,20,sample_ddof1; count=1 written as 0; empty=nan
8,6,detrended,-0.00014536082290560935,0.0013492662000772083,0.0017386851345599866,-0.03241546350795087,0.30088636261721746,0.387726785006877,20,sample_ddof1; count=1 written as 0; empty=nan
8,7,detrended,9.366974870233453e-05,0.0014056358141083518,0.0020109779177529203,0.02088835396062057,0.3134567865461625,0.4484480756589011,20,sample_ddof1; count=1 written as 0; empty=nan
16,0,raw,-0.001350553333759308,0.0021568551659584046,0.002134943514442962,-0.30117339342832566,0.4809787020087242,0.47609240372078054,10,sample_ddof1; count=1 written as 0; empty=nan
16,1,raw,-0.0016790315508842467,0.001809220016002655,0.0011627872406504908,-0.37442403584718703,0.4034560635685921,0.2593015546650595,10,sample_ddof1; count=1 written as 0; empty=nan
16,2,raw,-0.0018818289041519164,0.0018818289041519164,0.0005858671443684234,-0.41964784562587737,0.41964784562587737,0.13064837319415842,10,sample_ddof1; count=1 written as 0; empty=nan
16,3,raw,-0.0019649773836135863,0.0019649773836135863,0.0007368438632464844,-0.43818995654582976,0.43818995654582976,0.164316181503966,10,sample_ddof1; count=1 written as 0; empty=nan
16,4,raw,-0.0018137529492378234,0.0019050076603889464,0.00131550414924703,-0.4044669076800346,0.42481670826673507,0.29335742528208775,10,sample_ddof1; count=1 written as 0; empty=nan
16,5,raw,-0.0015390768647193908,0.002023978531360626,0.001758329026790478,-0.3432141408324242,0.45134721249341964,0.3921073729742766,10,sample_ddof1; count=1 written as 0; empty=nan
16,6,raw,-0.0006034761667251587,0.0018904179334640503,0.002218837432018313,-0.1345751851797104,0.4215631991624832,0.4948007473400838,10,sample_ddof1; count=1 written as 0; empty=nan
