variant,source,stage,cumulative_stride,shift_px,comparison,alignment,feature_height,feature_width,overlap_height,overlap_feature_columns,normalized_l1,normalized_l2
antialias,trained_checkpoint,stem_conv,2,1,raw_unaligned,none,112,112,112,112,0.06828004866838455,0.14981672167778015
antialias,trained_checkpoint,stem_conv,2,1,fractional_aligned,bilinear_fractional,112,112,112,111,0.023244909942150116,0.048660606145858765
antialias,trained_checkpoint,stem_pool,4,1,raw_unaligned,none,56,56,56,56,0.07006776332855225,0.10581077635288239
antialias,trained_checkpoint,stem_pool,4,1,fractional_aligned,bilinear_fractional,56,56,56,55,0.033989306539297104,0.044718507677316666
antialias,trained_checkpoint,layer1,4,1,raw_unaligned,none,56,56,56,56,0.05874405801296234,0.09163928776979446
antialias,trained_checkpoint,layer1,4,1,fractional_aligned,bilinear_fractional,56,56,56,55,0.024841433390975,0.03424834832549095
antialias,trained_checkpoint,layer2,8,1,raw_unaligned,none,28,28,28,28,0.04353669285774231,0.06994850933551788
antialias,trained_checkpoint,layer2,8,1,fractional_aligned,bilinear_fractional,28,28,28,27,0.023370984941720963,0.033661212772130966
antialias,trained_checkpoint,layer3,16,1,raw_unaligned,none,14,14,14,14,0.033349767327308655,0.04687847942113876
antialias,trained_checkpoint,layer3,16,1,fractional_aligned,bilinear_fractional,14,14,14,13,0.022790241986513138,0.02959480509161949
antialias,trained_checkpoint,layer4,32,1,raw_unaligned,none,7,7,7,7,0.02289687842130661,0.02795235440135002
antialias,trained_checkpoint,layer4,32,1,fractional_aligned,bilinear_fractional,7,7,7,6,0.019940558820962906,0.02168486826121807
antialias,trained_checkpoint,stem_conv,2,2,raw_unaligned,none,112,112,112,112,0.13404250144958496,0.2857993245124817
antialias,trained_checkpoint,stem_conv,2,2,fractional_aligned,bilinear_fractional,112,112,112,111,3.7702920963056386e-07,8.980661618807062e-07
antialias,trained_checkpoint,stem_conv,2,2,exact_integer,exact_integer,112,112,112,111,0.0,0.0
antialias,trained_checkpoint,stem_pool,4,2,raw_unaligned,none,56,56,56,56,0.13759368658065796,0.2122410088777542
antialias,trained_checkpoint,stem_pool,4,2,fractional_aligned,bilinear_fractional,56,56,56,55,0.04361069202423096,0.056842152029275894
antialias,trained_checkpoint,layer1,4,2,raw_unaligned,none,56,56,56,56,0.11689876765012741,0.18278443813323975
antialias,trained_checkpoint,layer1,4,2,fractional_aligned,bilinear_fractional,56,56,56,55,0.03373364359140396,0.0471174493432045
antialias,trained_checkpoint,layer2,8,2,raw_unaligned,none,28,28,28,28,0.0867832601070404,0.13894684612751007
antialias,trained_checkpoint,layer2,8,2,fractional_aligned,bilinear_fractional,28,28,28,27,0.0402010977268219,0.05766657739877701
antialias,trained_checkpoint,layer3,16,2,raw_unaligned,none,14,14,14,14,0.06617940962314606,0.0929727628827095
antialias,trained_checkpoint,layer3,16,2,fractional_aligned,bilinear_fractional,14,14,14,13,0.04286075010895729,0.055592335760593414
antialias,trained_checkpoint,layer4,32,2,raw_unaligned,none,7,7,7,7,0.045624375343322754,0.0555846281349659
antialias,trained_checkpoint,layer4,32,2,fractional_aligned,bilinear_fractional,7,7,7,6,0.038814008235931396,0.042210809886455536
antialias,trained_checkpoint,stem_conv,2,4,raw_unaligned,none,112,112,112,112,0.2540022134780884,0.5022324323654175
antialias,trained_checkpoint,stem_conv,2,4,fractional_aligned,bilinear_fractional,112,112,112,110,3.784321904731769e-07,8.980744610198599e-07
antialias,trained_checkpoint,stem_conv,2,4,exact_integer,exact_integer,112,112,112,110,0.0,0.0
antialias,trained_checkpoint,stem_pool,4,4,raw_unaligned,none,56,56,56,56,0.27258095145225525,0.4107062518596649
antialias,trained_checkpoint,stem_pool,4,4,fractional_aligned,bilinear_fractional,56,56,56,55,0.0010202776174992323,0.0009832720970734954
antialias,trained_checkpoint,stem_pool,4,4,exact_integer,exact_integer,56,56,56,55,0.0010191216133534908,0.0009832709329202771
antialias,trained_checkpoint,layer1,4,4,raw_unaligned,none,56,56,56,56,0.23027849197387695,0.35323625802993774
antialias,trained_checkpoint,layer1,4,4,fractional_aligned,bilinear_fractional,56,56,56,55,0.004826605785638094,0.004086954053491354
antialias,trained_checkpoint,layer1,4,4,exact_integer,exact_integer,56,56,56,55,0.004825996700674295,0.004086954519152641
antialias,trained_checkpoint,layer2,8,4,raw_unaligned,none,28,28,28,28,0.17332684993743896,0.2765982449054718
antialias,trained_checkpoint,layer2,8,4,fractional_aligned,bilinear_fractional,28,28,28,27,0.0551285557448864,0.07772757112979889
antialias,trained_checkpoint,layer3,16,4,raw_unaligned,none,14,14,14,14,0.13295848667621613,0.18618382513523102
antialias,trained_checkpoint,layer3,16,4,fractional_aligned,bilinear_fractional,14,14,14,13,0.07438760250806808,0.09544654935598373
antialias,trained_checkpoint,layer4,32,4,raw_unaligned,none,7,7,7,7,0.09272855520248413,0.11259923875331879
antialias,trained_checkpoint,layer4,32,4,fractional_aligned,bilinear_fractional,7,7,7,6,0.07340019196271896,0.07961752265691757
antialias,trained_checkpoint,stem_conv,2,8,raw_unaligned,none,112,112,112,112,0.4763718545436859,0.8085941672325134
antialias,trained_checkpoint,stem_conv,2,8,fractional_aligned,bilinear_fractional,112,112,112,108,3.8126964341245184e-07,8.980908887679107e-07
antialias,trained_checkpoint,stem_conv,2,8,exact_integer,exact_integer,112,112,112,108,0.0,0.0
antialias,trained_checkpoint,stem_pool,4,8,raw_unaligned,none,56,56,56,56,0.5317981839179993,0.7140514850616455
antialias,trained_checkpoint,stem_pool,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,0.00102445378433913,0.0009832795476540923
antialias,trained_checkpoint,stem_pool,4,8,exact_integer,exact_integer,56,56,56,54,0.0010232930071651936,0.0009832784999161959
antialias,trained_checkpoint,layer1,4,8,raw_unaligned,none,56,56,56,56,0.43897032737731934,0.6420137286186218
antialias,trained_checkpoint,layer1,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,0.0048063104040920734,0.003979030530899763
antialias,trained_checkpoint,layer1,4,8,exact_integer,exact_integer,56,56,56,54,0.004805614240467548,0.003979030530899763
antialias,trained_checkpoint,layer2,8,8,raw_unaligned,none,28,28,28,28,0.3389156460762024,0.5329375863075256
antialias,trained_checkpoint,layer2,8,8,fractional_aligned,bilinear_fractional,28,28,28,27,0.009012944996356964,0.01010459940880537
antialias,trained_checkpoint,layer2,8,8,exact_integer,exact_integer,28,28,28,27,0.009012863039970398,0.01010459940880537
antialias,trained_checkpoint,layer3,16,8,raw_unaligned,none,14,14,14,14,0.263670414686203,0.366870641708374
antialias,trained_checkpoint,layer3,16,8,fractional_aligned,bilinear_fractional,14,14,14,13,0.10328170657157898,0.12973318994045258
