bin,frequency_cycles_per_pixel,amplitude,preprocessing
0,0.0,0.13020778836035782,linear_detrend_then_hann
1,0.00625,0.12614311814021018,linear_detrend_then_hann
2,0.0125,0.039662602804709374,linear_detrend_then_hann
3,0.018750000000000003,0.052895601593013646,linear_detrend_then_hann
4,0.025,0.032429587388243246,linear_detrend_then_hann
5,0.03125,0.016023180100666827,linear_detrend_then_hann
6,0.037500000000000006,0.03904312008991571,linear_detrend_then_hann
7,0.043750000000000004,0.032456921554716925,linear_detrend_then_hann
8,0.05,0.015051917382664691,linear_detrend_then_hann
9,0.05625,0.008591062388797427,linear_detrend_then_hann
10,0.0625,0.028676830230854457,linear_detrend_then_hann
11,0.06875,0.01858218457914704,linear_detrend_then_hann
12,0.07500000000000001,0.013163576694472628,linear_detrend_then_hann
13,0.08125,0.0178654575136633,linear_detrend_then_hann
14,0.08750000000000001,0.014238523277475936,linear_detrend_then_hann
15,0.09375,0.010985513683352113,linear_detrend_then_hann
16,0.1,0.006347661627482322,linear_detrend_then_hann
17,0.10625000000000001,0.004135939984043881,linear_detrend_then_hann
18,0.1125,0.0014669842177150107,linear_detrend_then_hann
19,0.11875000000000001,0.011664925576575927,linear_detrend_then_hann
20,0.125,0.008486927383671452,linear_detrend_then_hann
21,0.13125,0.0047963817815203265,linear_detrend_then_hann
22,0.1375,0.002452450135926757,linear_detrend_then_hann
23,0.14375000000000002,0.0009208883308358168,linear_detrend_then_hann
24,0.15000000000000002,0.002996703313014596,linear_detrend_then_hann
25,0.15625,0.000672505794336752,linear_detrend_then_hann
26,0.1625,0.00347195315382524,linear_detrend_then_hann
27,0.16875,0.0037289284685346467,linear_detrend_then_hann
28,0.17500000000000002,0.00037691846109732304,linear_detrend_then_hann
29,0.18125000000000002,0.004443540545923948,linear_detrend_then_hann
30,0.1875,0.007167944350897055,linear_detrend_then_hann
31,0.19375,0.004605283806211008,linear_detrend_then_hann
32,0.2,0.0012061764348555205,linear_detrend_then_hann
33,0.20625000000000002,0.00033950972828824936,linear_detrend_then_hann
34,0.21250000000000002,0.002883271462742146,linear_detrend_then_hann
35,0.21875,0.0033505191962425727,linear_detrend_then_hann
36,0.225,0.0009648580238577133,linear_detrend_then_hann
37,0.23125,0.0010483741076922639,linear_detrend_then_hann
38,0.23750000000000002,0.004289000740120419,linear_detrend_then_hann
39,0.24375000000000002,0.006136606239779438,linear_detrend_then_hann
40,0.25,0.02066286002149363,linear_detrend_then_hann
41,0.25625000000000003,0.02749244265936786,linear_detrend_then_hann
42,0.2625,0.00510219504926465,linear_detrend_then_hann
43,0.26875,0.001721127918527441,linear_detrend_then_hann
44,0.275,0.001198506942270358,linear_detrend_then_hann
45,0.28125,0.0013024266968428267,linear_detrend_then_hann
46,0.28750000000000003,0.0008530945978717029,linear_detrend_then_hann
47,0.29375,0.0012211978197853835,linear_detrend_then_hann
48,0.30000000000000004,0.000861666037472892,linear_detrend_then_hann
49,0.30625,0.0003752103481345539,linear_detrend_then_hann
50,0.3125,0.00249969851361002,linear_detrend_then_hann
51,0.31875000000000003,0.0029360097765756114,linear_detrend_then_hann
52,0.325,0.0010943208366706334,linear_detrend_then_hann
53,0.33125000000000004,0.00024895040937410976,linear_detrend_then_hann
54,0.3375,0.0009263882635615298,linear_detrend_then_hann
55,0.34375,0.0008559164977287927,linear_detrend_then_hann
56,0.35000000000000003,0.00028442693274612047,linear_detrend_then_hann
57,0.35625,0.00040518917217219824,linear_detrend_then_hann
58,0.36250000000000004,0.0006348788090277975,linear_detrend_then_hann
59,0.36875,0.00172807718308492,linear_detrend_then_hann
60,0.375,0.0038325307839353695,linear_detrend_then_hann
61,0.38125000000000003,0.005001555034072582,linear_detrend_then_hann
62,0.3875,0.0010019526262866271,linear_detrend_then_hann
63,0.39375000000000004,0.000253763894020125,linear_detrend_then_hann
64,0.4,0.0004188749270844627,linear_detrend_then_hann
65,0.40625,3.431049456384967e-05,linear_detrend_then_hann
66,0.41250000000000003,0.00018441840349889602,linear_detrend_then_hann
67,0.41875,0.0004915855511021982,linear_detrend_then_hann
68,0.42500000000000004,0.00033209579158388196,linear_detrend_then_hann
69,0.43125,0.0007630823292702982,linear_detrend_then_hann
70,0.4375,0.0003269473584058709,linear_detrend_then_hann
71,0.44375000000000003,0.0006749809406372151,linear_detrend_then_hann
72,0.45,0.0003115748471007661,linear_detrend_then_hann
73,0.45625000000000004,0.0004792265348570938,linear_detrend_then_hann
74,0.4625,0.0009621371463532325,linear_detrend_then_hann
75,0.46875,0.0007291387363584254,linear_detrend_then_hann
76,0.47500000000000003,0.00012161849317029215,linear_detrend_then_hann
77,0.48125,0.0006537351528778048,linear_detrend_then_hann
78,0.48750000000000004,0.0008597198453736404,linear_detrend_then_hann
79,0.49375,0.005223835295786605,linear_detrend_then_hann
80,0.5,0.005668352526580239,linear_detrend_then_hann
