period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
2,0,raw,-0.0002776291221380234,0.002576250210404396,0.0030692916756425897,-0.06191129423677921,0.5745037969201803,0.6844520436682975,80,sample_ddof1; count=1 written as 0; empty=nan
2,1,raw,-0.00015265773981809616,0.002497749961912632,0.0029371233260507084,-0.034042675979435444,0.5569982415065169,0.6549785017093079,80,sample_ddof1; count=1 written as 0; empty=nan
2,0,detrended,-6.404405346907087e-05,0.002539526093046124,0.003056794018640813,-0.01428182392360281,0.5663143187492857,0.6816650661569014,80,sample_ddof1; count=1 written as 0; empty=nan
2,1,detrended,6.404405346907126e-05,0.0025007280821709088,0.002942938416099271,0.014281823923602877,0.5576623623241128,0.6562752667901374,80,sample_ddof1; count=1 written as 0; empty=nan
4,0,raw,5.52058219909668e-05,0.0024687603116035463,0.0031358432537753095,0.012310898303985596,0.5505335494875908,0.699293045591894,40,sample_ddof1; count=1 written as 0; empty=nan
4,1,raw,-0.0005532369017601013,0.002500768005847931,0.0029389189943838717,-0.12337182909250259,0.5576712653040886,0.6553789357476033,40,sample_ddof1; count=1 written as 0; empty=nan
4,2,raw,-0.0006104640662670136,0.002683740109205246,0.0030036483296621134,-0.13613348677754403,0.5984740443527699,0.6698135775146513,40,sample_ddof1; count=1 written as 0; empty=nan
4,3,raw,0.000247921422123909,0.002494731917977333,0.0029168789897679064,0.0552864771336317,0.5563252177089453,0.6504640147182431,40,sample_ddof1; count=1 written as 0; empty=nan
4,0,detrended,0.0002656741660417043,0.0024155886733696454,0.003080369913658536,0.05924533902730007,0.5386762741614308,0.6869224907458537,40,sample_ddof1; count=1 written as 0; empty=nan
4,1,detrended,-0.0003396518330911489,0.00246807686109862,0.00291939887983866,-0.0757423587793262,0.5503811400249923,0.6510259502040211,40,sample_ddof1; count=1 written as 0; empty=nan
4,2,detrended,-0.0003937622729798461,0.002663463512722603,0.00303576789754716,-0.0878089868745057,0.5939523633371404,0.6769762411530166,40,sample_ddof1; count=1 written as 0; empty=nan
4,3,detrended,0.0004677399400292914,0.0025333793032431984,0.0029473138691353284,0.10430600662653197,0.5649435846232332,0.6572509928171782,40,sample_ddof1; count=1 written as 0; empty=nan
8,0,raw,0.0003434762358665466,0.002324317395687103,0.0031129651649398843,0.0765952005982399,0.518322779238224,0.6941912317815943,20,sample_ddof1; count=1 written as 0; empty=nan
8,1,raw,-0.0004869535565376282,0.0023470416665077208,0.0028333949812975696,-0.10859064310789109,0.5233902916312217,0.6318470808293579,20,sample_ddof1; count=1 written as 0; empty=nan
8,2,raw,-0.0006106548011302948,0.002679026871919632,0.0029993523673593307,-0.13617602065205575,0.597422992438078,0.6688555779211307,20,sample_ddof1; count=1 written as 0; empty=nan
8,3,raw,0.00017155781388282775,0.002541375905275345,0.0029307540753064493,0.03825739249587059,0.5667268268764019,0.6535581587933381,20,sample_ddof1; count=1 written as 0; empty=nan
8,4,raw,-0.00023306459188461305,0.002613203227519989,0.0032123324864995056,-0.05197340399026871,0.5827443197369575,0.7163501444893898,20,sample_ddof1; count=1 written as 0; empty=nan
8,5,raw,-0.0006195202469825745,0.002654494345188141,0.0031131503320718634,-0.1381530150771141,0.5919522389769554,0.6942325240520257,20,sample_ddof1; count=1 written as 0; empty=nan
8,6,raw,-0.0006102733314037323,0.00268845334649086,0.003085859506128511,-0.1360909529030323,0.5995250962674618,0.688146669866658,20,sample_ddof1; count=1 written as 0; empty=nan
8,7,raw,0.00032428503036499026,0.002448087930679321,0.0029770067360380494,0.07231556177139283,0.5459236085414887,0.663872502136485,20,sample_ddof1; count=1 written as 0; empty=nan
8,0,detrended,0.0005477111306808543,0.0023250833952394084,0.0030516205477499948,0.12213958214183049,0.518493597138388,0.6805113821482489,20,sample_ddof1; count=1 written as 0; empty=nan
8,1,detrended,-0.0002796019371051057,0.0023331032196738915,0.002812582366462951,-0.06235123197443852,0.5202820179872778,0.627205867721238,20,sample_ddof1; count=1 written as 0; empty=nan
8,2,detrended,-0.00040018645707955733,0.002699120802474996,0.0030549535344664295,-0.08924157992874131,0.6019039389519241,0.6812546381860137,20,sample_ddof1; count=1 written as 0; empty=nan
8,3,detrended,0.00038514288255178024,0.0025688030819156367,0.002965450617232665,0.08588686280904698,0.5728430872671869,0.6612954876428843,20,sample_ddof1; count=1 written as 0; empty=nan
8,4,detrended,-1.6362798597445606e-05,0.0025060939514998824,0.003161789200632344,-0.0036489040872303632,0.5588589511844738,0.7050789917410126,20,sample_ddof1; count=1 written as 0; empty=nan
8,5,detrended,-0.000399701729077192,0.002603050502523349,0.0030945341590547745,-0.08913348558421388,0.5804802620627068,0.6900811174692146,20,sample_ddof1; count=1 written as 0; empty=nan
8,6,detrended,-0.000387338088880135,0.0026278062229702108,0.0030958023423955576,-0.0863763938202701,0.586000787722357,0.6903639223542094,20,sample_ddof1; count=1 written as 0; empty=nan
8,7,detrended,0.0005503369975068025,0.0024979555245707606,0.0030037061478225876,0.12272515044401695,0.5570440819792796,0.669826470964437,20,sample_ddof1; count=1 written as 0; empty=nan
16,0,raw,0.0011517807841300964,0.0024668678641319277,0.0032873703991253174,0.2568471148610115,0.5501115337014199,0.7330835990049459,10,sample_ddof1; count=1 written as 0; empty=nan
16,1,raw,0.0004528671503067017,0.002345934510231018,0.0028611542953193084,0.10098937451839447,0.523143395781517,0.6380374078562059,10,sample_ddof1; count=1 written as 0; empty=nan
16,2,raw,0.00023245513439178466,0.0025279492139816282,0.0030405409112390677,0.05183749496936798,0.5637326747179031,0.6780406232063121,10,sample_ddof1; count=1 written as 0; empty=nan
16,3,raw,0.0009701460599899292,0.0027937918901443483,0.0032078585746505494,0.2163425713777542,0.6230155915021897,0.7153524621470726,10,sample_ddof1; count=1 written as 0; empty=nan
16,4,raw,0.0003616631031036377,0.003051459789276123,0.0037606458458591782,0.08065087199211121,0.6804755330085754,0.8386240236265968,10,sample_ddof1; count=1 written as 0; empty=nan
16,5,raw,-0.0003562629222869873,0.0029049694538116457,0.003592917300577089,-0.07944663166999817,0.647808188199997,0.8012205580286909,10,sample_ddof1; count=1 written as 0; empty=nan
16,6,raw,-0.0005546420812606812,0.0026793867349624635,0.0032941684546666126,-0.1236851841211319,0.5975032418966293,0.7345995653906546,10,sample_ddof1; count=1 written as 0; empty=nan
16,7,raw,3.1527876853942874e-05,0.0024251192808151245,0.002867220272763553,0.007030716538429261,0.5408015996217728,0.6393901208262723,10,sample_ddof1; count=1 written as 0; empty=nan
16,8,raw,-0.00046482831239700315,0.002181766927242279,0.0028634114874893915,-0.1036567136645317,0.4865340247750282,0.6385407617101343,10,sample_ddof1; count=1 written as 0; empty=nan
16,9,raw,-0.001426774263381958,0.002348148822784424,0.0026075386637363193,-0.31817066073417666,0.5236371874809265,0.5814811220131992,10,sample_ddof1; count=1 written as 0; empty=nan
16,10,raw,-0.0014537647366523743,0.0028301045298576356,0.002857844745108706,-0.32418953627347946,0.6311133101582527,0.6372993781592414,10,sample_ddof1; count=1 written as 0; empty=nan
16,11,raw,-0.0006270304322242737,0.0022889599204063416,0.0025348459540646645,-0.13982778638601304,0.5104380622506142,0.5652706477564202,10,sample_ddof1; count=1 written as 0; empty=nan
16,12,raw,-0.0008277922868728637,0.002174946665763855,0.002618447055605034,-0.18459767997264862,0.4850131064653397,0.5839136933999225,10,sample_ddof1; count=1 written as 0; empty=nan
16,13,raw,-0.0008827775716781616,0.0024040192365646362,0.0027197796861819327,-0.19685939848423004,0.5360962897539139,0.6065108700185708,10,sample_ddof1; count=1 written as 0; empty=nan
16,14,raw,-0.0006659045815467834,0.0026975199580192566,0.0030405087284563837,-0.14849672168493272,0.6015469506382942,0.6780334464457737,10,sample_ddof1; count=1 written as 0; empty=nan
16,15,raw,0.0006170421838760376,0.002471056580543518,0.003209120841364984,0.13760040700435638,0.5510456174612045,0.7156339476243914,10,sample_ddof1; count=1 written as 0; empty=nan
16,0,detrended,0.001343548780471544,0.002459261297156296,0.003211607300436242,0.29961137804515436,0.548415269265854,0.716188427997282,10,sample_ddof1; count=1 written as 0; empty=nan
16,1,detrended,0.0006477518712663643,0.0023277744419412617,0.0028289982933733665,0.14444866729239925,0.5190937005529013,0.6308666194222606,10,sample_ddof1; count=1 written as 0; empty=nan
16,2,detrended,0.00043045657996966237,0.002552883010927348,0.0030877689804536274,0.09599181733323471,0.5692929114367986,0.688572482641159,10,sample_ddof1; count=1 written as 0; empty=nan
16,3,detrended,0.0011712642301860217,0.002834015524183567,0.003238797921314601,0.2611919233314829,0.6319854618929354,0.7222519364531559,10,sample_ddof1; count=1 written as 0; empty=nan
16,4,detrended,0.0005658979979179452,0.0029946894898485025,0.003702790185626344,0.12619525353570177,0.667815756236216,0.8257222113946747,10,sample_ddof1; count=1 written as 0; empty=nan
16,5,detrended,-0.00014891130285446495,0.0028700621380876377,0.0035660521892423337,-0.03320722053654564,0.6400238567935432,0.7952296382010404,10,sample_ddof1; count=1 written as 0; empty=nan
16,6,detrended,-0.00034417373720994356,0.0026273195473740284,0.0032893180217987623,-0.07675074339781743,0.5858922590644082,0.7335179188611239,10,sample_ddof1; count=1 written as 0; empty=nan
16,7,detrended,0.00024511294552289535,0.0024500530777608444,0.002871525626375708,0.054660186851605654,0.5463618363406681,0.6403502146817829,10,sample_ddof1; count=1 written as 0; empty=nan
16,8,detrended,-0.00024812651910983567,0.0021909054933225204,0.002817375197179182,-0.05533221376149339,0.4885719250109221,0.6282746689709575,10,sample_ddof1; count=1 written as 0; empty=nan
16,9,detrended,-0.0012069557454765757,0.0023384319974065217,0.0026049736185787663,-0.2691511312412763,0.5214703354216543,0.5809091169430648,10,sample_ddof1; count=1 written as 0; empty=nan
16,10,detrended,-0.001230829494128777,0.0028453585940226437,0.0029385156545325914,-0.27447497719071723,0.6345149664670494,0.6552889909607679,10,sample_ddof1; count=1 written as 0; empty=nan
16,11,detrended,-0.00040097846508246117,0.0023035906396477067,0.0025887793490269313,-0.08941819771338891,0.5137007126414386,0.5772977948330057,10,sample_ddof1; count=1 written as 0; empty=nan
16,12,detrended,-0.0005986235951128366,0.0020174984131512627,0.002576924499893435,-0.13349306171016256,0.44990214613273166,0.574654163476236,10,sample_ddof1; count=1 written as 0; empty=nan
